AU,AF,TI,AB,SN,EI,PD,PY,VL,IS,BP,EP,AR,DI,UT
"Robertson, M; Swan, J; Newell, S","Robertson, M; Swan, J; Newell, S",The role of networks in the diffusion of technological innovation,"This research considers the diffusion of computer-aided production management (CAPM) technology in the UK manufacturing sector during the mid to late 1980s, focusing on the role of inter-organizational networks in the diffusion process. Research on innovation diffusion has tended to adopt a 'pro-innovation bias' such that adoption of prescribed best practice technologies is always considered to be the best policy. In the UK, one particular form of CAPM (MRP/MRPIT) has been heavily promoted by technology suppliers as best practice. However, the notion of 'best practice' de-emphasizes the importance of decisions about technology design when users attempt to develop firm-specific solutions. Crucial to these decisions are the inter-organizational networks through which potential adopters learn about relevant technologies. Using three case companies, where the introduction of CAPM occurred at approximately the same time, decisions regarding adoption, design and subsequent implementation, are explored in order to establish the influence of inter-organizational networks on the diffusion and subsequent appropriation of CAPM technologies. These cases revealed that potential adopters engaged in a range of inter-organizational networks through which they learned about new technologies. However, the knowledge diffused through many of these networks was shaped by technology suppliers who were promoting similar ideas about best practice. Thus, while involvement in interorganizational networks gave potential adopters access to information about new technology, this information tended to reinforce supplier images of best practice and did not always lead these firms to develop appropriate technological solutions. Problematic relationships between the suppliers of the technology and the users was seen here to limit the redesign and further diffusion of CAPM.",0022-2380,,MAY,1996,33,3,333,359,,10.1111/j.1467-6486.1996.tb00805.x,WOS:A1996UL06800004
"Batjargal, B; Hitt, MA; Tsui, AS; Arregle, JL; Webb, JW; Miller, TL","Batjargal, Bat; Hitt, Michael A.; Tsui, Anne S.; Arregle, Jean-Luc; Webb, Justin W.; Miller, Toyah L.","INSTITUTIONAL POLYCENTRISM, ENTREPRENEURS' SOCIAL NETWORKS, AND NEW VENTURE GROWTH","What is the interrelationship among formal institutions, social networks, and new venture growth? Drawing on the theory of institutional polycentrism and social network theory, we examine this question using data on 637 entrepreneurs from four different countries. We find the confluence of weak and inefficient formal institutions to be associated with a larger number of structural holes in entrepreneurial social networks. While the effect of this institutional order on the revenue growth of new ventures is negative, a network's structural holes have a positive effect on revenue growth. Furthermore, the positive effect of structural holes on revenue growth is stronger in an environment with a more adverse institutional order (i.e., weaker and more inefficient institutions). The contributions and implications of these findings are discussed.",0001-4273,1948-0989,AUG,2013,56,4,1024,1049,,10.5465/amj.2010.0095,WOS:000323852100006
"Lusch, RF","Lusch, Robert F.",REFRAMING SUPPLY CHAIN MANAGEMENT: A SERVICE-DOMINANT LOGIC PERSPECTIVE,"Shifting the dominant thinking of supply chain management toward the concepts of service, value cocreation, value propositions, operant resources, networks, service ecosystems and learning opens up many research opportunities and strategies for improved organizational performance. The emerging thought world of service-dominant logic is presented as a means to reframe supply chain scholarship and practice for increased relevance and impact.",1523-2409,1745-493X,,2011,47,1,14,18,,10.1111/j.1745-493X.2010.03211.x,WOS:000286001000004
"Sosa, ME","Sosa, Manuel E.",Where Do Creative Interactions Come From? The Role of Tie Content and Social Networks,"Understanding the determinants of creativity at the individual and organizational level has been the focus of a long history of research in various disciplines from the social sciences, but little attention has been devoted to studying creativity at the dyadic level. Why are some dyadic interactions more likely than others to trigger the generation of novel and useful ideas in organizations? As dyads conduit both knowledge and social forces, they offer an ideal setting to disentangle the effects of knowledge diversity, tie strength, and network structure on the generation of creative thoughts. This paper not only challenges the current belief that sporadic and distant dyadic relationships (weak ties) foster individual creativity but also argues that diverse and strong ties facilitate the generation of creative ideas. From a knowledge viewpoint, our results suggest that ties that transmit a wide (rather than narrow) set of knowledge domains (within the same tie) favor creative idea generation if exchanges occur with sufficient frequency. From a social perspective, we find that strong ties serve as effective catalysts for the generation of creative ideas when they link actors who are intrinsically motivated to work closely together. Finally, this paper also shows that dyadic network cohesion (i.e., the connections from the focal dyad to common contacts) does not always hinder the generation of creative ideas. Our empirical evidence suggests that when cohesion exceeds its average levels, it becomes detrimental to creative idea generation. Hypotheses are tested in a sociometric study conducted within the development department of a software firm.",1047-7039,,JAN-FEB,2011,22,1,1,21,,10.1287/orsc.1090.0519,WOS:000287956700001
"Hsu, LC; Wang, CH","Hsu, Li-Chang; Wang, Chao-Hung",Clarifying the Effect of Intellectual Capital on Performance: The Mediating Role of Dynamic Capability,"Recent studies suggest a potential relationship between intellectual capital and dynamic capability in achieving performance. This is unsettling for managers because these studies contain little effort to develop a framework for understanding the relationship. To examine this unnerving potential, we develop and test a theoretical model that explains how dynamic capability mediates the impact of intellectual capital on performance. In this study, the scope of intellectual capital includes human capital, relational capital and structural capital. This study examines the pooled data of 242 high-technology firms from 2001 to 2008. Results from Bayesian regression analysis suggest that the effect of structural capital on performance is completely mediated by dynamic capability. Furthermore, the findings show that dynamic capability does not completely mediate the respective effects of human capital and relational capital on performance, but does so only partially. These results provide convincing support for the importance of dynamic capability through accumulating R&D and marketing capability over time, thereby enhancing firm performance. The empirical findings and the ensuing discussion will be of interest to managers and practitioners.",1045-3172,1467-8551,JUN,2012,23,2,179,205,,10.1111/j.1467-8551.2010.00718.x,WOS:000303796800003
"Hambrick, DC; Cannella, AA","Hambrick, DC; Cannella, AA",CEOs who have COOs: Contingency analysis of an unexplored structural form,"We use contingency theory to examine, for the first time, the incidence and effectiveness of CEO/COO duos. We argue that industry dynamism, extraordinary organizational task demands, and the CEO's own professional limitations will influence the decision to have a COO, as well as its effect on performance. Based on a large 10-year sample, we find some support for the contingency view in explaining the presence of COOs; we particularly find that CEOs who lack experience in operational activities and in managing the focal firm are relatively likely to have COOs. We find, however, essentially no support for the contingency view in explaining when COOs are most beneficial. Instead, we find strong evidence of a very substantial negative main effect: CEOs who have COOs deliver lower organizational performance than those who do not. Copyright (C) 2004 John Wiley Sons, Ltd.",0143-2095,,OCT,2004,25,10,959,979,,10.1002/smj.407,WOS:000223877300001
"de Faria, P; Lima, F; Santos, R","de Faria, Pedro; Lima, Francisco; Santos, Rui",Cooperation in innovation activities: The importance of partners,"This paper analyses the importance of cooperation partners for the development of innovation activities. We contribute to the literature on cooperation in innovation activities that seeks to identify the characteristics differentiating cooperative from non-cooperative firms by proposing a different approach to this problem. We distinguish firms according to their evaluation of cooperation partners in the development of innovation activities. We apply a probit selection model to account for the firm's decision to cooperate (or not). The data we use come from the Portuguese Third Community Innovation Survey. Our estimation results show that firms from high-technological industries, with higher levels of absorptive capacity and of innovation investment, who give importance to incoming spillovers management, and who cooperate with firms from the same group or with suppliers, place greater value on cooperation partners in the innovation process. Additionally, we also find that the factors influencing the importance attributed to cooperation activities are different from the ones behind the decision to cooperate. (C) 2010 Elsevier By. All rights reserved.",0048-7333,,OCT,2010,39,8,1082,1092,,10.1016/j.respol.2010.05.003,WOS:000281474800010
"Ketchen, DJ; Ireland, RD; Snow, CC","Ketchen, David J., Jr.; Ireland, R. Duane; Snow, Charles C.","STRATEGIC ENTREPRENEURSHIP, COLLABORATIVE INNOVATION, AND WEALTH CREATION","Strategic entrepreneurship refers to firms' pursuit of superior performance via simultaneous opportunity-seeking and advantage-seeking activities. Both small and large firms face impediments while pursuing strategic entrepreneurship. While small firms' opportunity-seeking skills may be strong, their limited knowledge stocks and lack of market power inhibit their ability to enact the competitive advantages necessary to appropriate value from opportunities the firms choose to pursue. In contrast, large firms are skilled at establishing competitive advantages, but their heavy emphasis on the efficiency of their existing businesses often undermines their ability to continuously explore for additional opportunities. Building on a variety of theories, including network, learning, resource-based, and real options, we suggest that collaborative innovation can enable both types of firms to overcome their respective challenges. Collaborative innovation is the pursuit of innovations across firm boundaries through the sharing of ideas, knowledge, expertise, and opportunities. For small firms, we contend that pursuing entrepreneurship collaboratively allows them to preserve their creativity and flexibility while mitigating the inherent liabilities of smallness. We argue that collaborative innovation permits large firms to exploit their advantage-creating skills while concurrently exploring for opportunities outside their current domain. Thus, small and large firms that learn how to integrate strategic entrepreneurship and collaborative innovation are well positioned to create wealth. Copyright (C) 2008 Strategic Management Society.",1932-4391,1932-443X,DEC,2007,1,3-4,371,385,,10.1002/sej.20,WOS:000207897000017
"Verona, G; Prandelli, E; Sawhney, M","Verona, Gianmario; Prandelli, Emanuela; Sawhney, Mohanbir",Innovation and virtual environments: Towards virtual knowledge brokers,"We examine the implications of virtual customer environments for supporting the innovation process. By building on the literature of knowledge brokers, we introduce the concept of virtual knowledge brokers - actors who leverage the internet to support third parties' innovation activities. These actors enable firms to extend their reach in engaging with customers and they also allow firms to have a richer dialogue with customers because of their perceived neutrality. Consequently, virtual knowledge brokers help firms to complement the knowledge they can acquire through traditional physical and virtual channels for customer interaction. We highlight the capabilities and contributions of virtual knowledge brokers, and we discuss the implications of these entities for theory and practice in the management of innovation.",0170-8406,1741-3044,JUN,2006,27,6,765,788,,10.1177/0170840606061073,WOS:000238911600001
"Swan, J; Scarbrough, H","Swan, J; Scarbrough, H",The politics of networked innovation,"Existing studies suggest that, because knowledge is becoming more widely distributed, innovation increasingly needs to occur 'at the interstices' of collaborating groups and organizations. Networked innovation processes are therefore emphasized, over more hierarchical or market-based forms, as having distinct advantages for the creation and integration of knowledge. Whilst the structural properties of networks have been heavily scrutinized, there is relatively less understanding of processes, in particular the political dynamics that shape networked innovation. This article aims to develop understanding of networked innovation processes, by identifying and relating the characteristics of networked innovation to the productive, or constraining, effects of different dimensions of power (power of resource, meaning and process). It does this through comparative analysis of three case studies of networked innovation, each involving the development of new technology. This analysis suggests that understanding the politics of networked innovation depends on understanding the generative (and sometimes degenerative) relationship between power, knowledge integration, network formation, and the role of technology. Moreover, the co-ordination of networks, rather than simply their formation, is found to play a particularly crucial role.",0018-7267,,JUL,2005,58,7,913,943,,10.1177/0018726705057811,WOS:000232802600005
"Wattal, S; Schuff, D; Mandviwalla, M; Williams, CB","Wattal, Sunil; Schuff, David; Mandviwalla, Munir; Williams, Christine B.",WEB 2.0 AND POLITICS: THE 2008 US PRESIDENTIAL ELECTION AND AN E-POLITICS RESEARCH AGENDA,"The Internet was a major factor in the 2008 U.S. presidential campaign and has become an important tool for political communication and persuasion. Yet, information systems research is generally silent on the role of the Internet in politics. In this paper, we argue that IS is positioned to enhance understanding of the influence of the Internet on politics, and, more specifically, the process of election campaigning using Internet-based technologies such as Web 2.0. In this paper, we discuss how these technologies can change the nature of competition in politics and replace or complement traditional media. Our empirical study on how Web 2.0 technologies were used by the candidates leading up to the 2008 U.S. presidential primaries sheds light on how these technologies influenced candidate performance. Finally, we outline a research agenda highlighting where IS can contribute to the academic discourse on e-politics.",0276-7783,,DEC,2010,34,4,669,688,,,WOS:000284086900003
"Baggio, R; Cooper, C","Baggio, Rodolfo; Cooper, Chris",Knowledge transfer in a tourism destination: the effects of a network structure,"Tourism destinations have a necessity to innovate in order to remain competitive in an increasingly global environment. A pre-requisite for innovation is the understanding of how destinations source, share and use knowledge. This conceptual paper examines the nature of networks and how their analysis can shed light upon the processes of knowledge sharing in destinations as they strive to innovate. The paper conceptualizes destinations as networks of connected organizations, both public and private, each of which can be considered as a destination stakeholder. In network theory, they represent the nodes within the system. The paper shows how epidemic diffusion models can act as analogies for knowledge communication and transfer within a destination network. These models can be combined with other approaches to network analysis to shed light on how destination networks operate, and how they can be optimized with policy intervention to deliver innovative and competitive destinations. The paper closes with a practical tourism example taken from the Italian destination of Elba. Using numerical simulations, the case demonstrates how the Elba network can be optimized. Overall, this paper demonstrates the considerable utility of network analysis for tourism in delivering destination competitiveness.dagger.",0264-2069,,,2010,30,10,1757,1771,PII 924695989,10.1080/02642060903580649,WOS:000280386000012
"Somaya, D; Williamson, IO; Lorinkova, N","Somaya, Deepak; Williamson, Ian O.; Lorinkova, Natalia",GONE BUT NOT LOST: THE DIFFERENT PERFORMANCE IMPACTS OF EMPLOYEE MOBILITY BETWEEN COOPERATORS VERSUS COMPETITORS,"This article extends research on the relationship. between employee mobility and firm performance by exploring how mobility between competitors and mobility between potential cooperators are different. We draw on social capital theory to argue that movement of employees both to and from clients may enhance firm performance, whereas only inward mobility from competitors benefits firms. We also hypothesize that it is more harmful for firms to lose social capital-laden human assets to competitors than to other potential employee destinations. We tested our hypotheses with a novel dyadic data set of patent attorney movements between law firms and Fortune 500 companies.",0001-4273,1948-0989,OCT,2008,51,5,936,953,,,WOS:000260503700006
"Collins, JD; Hitt, MA","Collins, Jamie D.; Hitt, Michael A.",Leveraging tacit knowledge in alliances: The importance of using relational capabilities to build and leverage relational capital,"Effectively managing existing tacit knowledge stocks and transferring knowledge between partners contributes to firm capabilities that allow them to differentiate their goods and services from those of their competitors. Because it also helps them to provide greater value to customers, it contributes to the development of a competitive advantage. In highly competitive industries, firms need to focus on proactively managing their knowledge resources to ensure survival. However, the knowledge management process is at times complex especially because of the difficulty involved in conveying tacit knowledge. Due to its latent potential for enabling firms to achieve potential competitive advantage, how firms utilize and transfer stocks of tacit knowledge requires enhanced understanding. In specific, we explain how firms use relational capabilities to build relational capital with partners. In turn, relational capital facilitates the transfer of tacit knowledge between collaborating partners. We develop several propositions regarding the factors likely to influence the transfer of a firm's tacit knowledge resources in strategic alliances. The importance of social capital's relational dimension, relational capital, in this process is highlighted. (c) 2006 Elsevier B.V. All rights reserved.",0923-4748,,SEP,2006,23,3,147,167,,10.1016/j.jengtecman.2006.06.007,WOS:000240927800001
"Langfred, CW","Langfred, CW",The paradox of self-management: Individual and group autonomy in work groups,"This study explores how autonomy at the individual and the group levels directly affect group cohesiveness, and how they indirectly influence group effectiveness. Hypotheses suggesting that individual and group autonomy will be oppositely related to cohesiveness are supported in data collected from a large sample of work groups in two separate organizations. Also supported are hypotheses suggesting a group cohesiveness/group performance orientation interaction as a mediator of the relationships between autonomy at both levels and group effectiveness. The findings highlight the importance of considering autonomy at both individual and group levels simultaneously when designing work groups that incorporate autonomy. Copyright (C) 2000 John Wiley & Sons, Ltd.",0894-3796,,AUG,2000,21,5,563,585,,10.1002/1099-1379(200008)21:5<563::AID-JOB31>3.0.CO;2-H,WOS:000088450300005
"Ahrne, G; Brunsson, N","Ahrne, Goran; Brunsson, Nils",Organization outside organizations: the significance of partial organization,"It is common practice in organizational research to restrict the concept of organization to formal organizations, and to describe the world outside these entities by such other concepts as institutions or networks. It is argued in this article that the concept of organization can be fruitfully broadened to include some aspects of the order that exists outside and among organizations. A broader concept includes not only complete, formal organization, but also 'partial organization'. Both types of organization are based on decisions, but whereas complete organizations have access to all elements of organization, partial organization is based on only one or a few of these elements. Like complete organization, partial organization is a common phenomenon that not least characterizes much of the contemporary global order. The authors discuss how partial organization arises, how and why institutions and networks sometimes become organized, and the consequences of organization for change, transparency and accountability.",1350-5084,,JAN,2011,18,1,83,104,,10.1177/1350508410376256,WOS:000287233000005
"Hahn, J; Moon, JY; Zhang, C","Hahn, Jungpil; Moon, Jae Yun; Zhang, Chen",Emergence of new project teams from open source software developer networks: Impact of prior collaboration ties,"Recent years have witnessed a surge in self-organizing voluntary teams collaborating online to produce goods and services. Motivated by this phenomenon, this research investigates how these teams are formed and how individuals make decisions about which teams to join in the context of open source software development (OSSD). The focus of this paper is to explore how the collaborative network affects developers' choice of newly initiated OSS projects to participate in. More specifically, by analyzing software project data from real-world OSSD projects, we empirically test the impact of past collaborative ties with and perceived status of project members in the network on the self-assembly of OSSD teams. Overall, we find that a developer is more likely to join a project when he has strong collaborative ties with its initiator. We also find that perceived status of the noninitiator members of a project influences its probability of attracting developers. We discuss the implications of our results with respect to self-organizing teams and OSSD.",1047-7047,,SEP,2008,19,3,369,391,,10.1287/isre.1080.0192,WOS:000259723200008
"McDonald, ML; Khanna, P; Westphal, JD","McDonald, Michael L.; Khanna, Poonam; Westphal, James D.","Getting them to think outside the circle: Corporate governance, CEOs' external advice networks, and firm performance","This article contributes to the social networks literature by examining how corporate governance factors influence CEOs' external advice-seeking behaviors. We incorporate insights from social networks research into an agency theory perspective to predict, and demonstrate empirically, that governance factors recommended by agency theory increase CEOs' tendencies to seek out advice contacts who are likely to offer perspectives on strategic issues that differ from their own; these advice-seeking behaviors ultimately enhance firm performance. Accordingly, this article also contributes to the corporate governance literature by describing how and why CEOs' advice networks mediate the effects of governance factors on firm performance.",0001-4273,1948-0989,JUN,2008,51,3,453,475,,,WOS:000257297100004
"Manev, IM; Stevenson, WB","Manev, IM; Stevenson, WB","Nationality, cultural distance, and expatriate status: Effects on the managerial network in a multinational enterprise","We study the role of three characteristics of international managers-nationality, cultural distance, and expatriate status, for their network ties. A network analysis of cross-subsidiary interactions among 457 managers in an MNE demonstrates that managers form strong expressive ties with peers with smaller cultural distance and from the same status group. However, managers form strong instrumental ties with peers who are different on these background characteristics. The implications for international management theory and practice are discussed.",0047-2506,,,2001,32,2,285,303,,10.1057/palgrave.jibs.8490953,WOS:000169114700005
"Hearnshaw, EJS; Wilson, MMJ","Hearnshaw, Edward J. S.; Wilson, Mark M. J.",A complex network approach to supply chain network theory,"Purpose - The purpose of this paper is to advance supply chain network theory by applying theoretical and empirical developments in complex network literature to the context of supply chains as complex adaptive systems. The authors synthesize these advancements to gain an understanding of the network properties underlying efficient supply chains. To develop a suitable theory of supply chain networks, the authors look to mirror the properties of complex network models with real-world supply chains. Design/methodology/approach - The authors review complex network literature drawn from multiple disciplines in top scientific journals. From this interdisciplinary review a series of propositions are developed around supply chain complexity and adaptive phenomena. Findings - This paper proposes that the structure of efficient supply chains follows a ""scale-free"" network. This proposal emerges from arguments that the key properties of efficient supply chains are a short characteristic path length, a high clustering coefficient and a power law connectivity distribution. Research limitations/implications - The authors' discussion centres on applying advances found in recent complex network literature. Hence, the need is noted to empirically validate the series of propositions developed in this paper in a supply chain context. Practical implications - If efficient supply chains resemble a scale-free network, then managers can derive a number of implications. For example, supply chain resilience is derived by the presence of hub firms. To reduce the vulnerability of supply chains to cascading failures, it is recognized that managers could build in redundancy, undertake a multi-sourcing strategy or intermediation between hub firms. Originality/value - This paper advances supply chain network theory. It offers a novel understanding of supply chains as complex adaptive systems and, in particular, that efficient and resilient supply chain systems resemble a scale-free network. In addition, it provides a series of propositions that allow modelling and empirical research to proceed.",0144-3577,1758-6593,,2013,33,3-4,442,469,,10.1108/01443571311307343,WOS:000317149500009
"Reiche, BS; Harzing, AW; Kraimer, ML","Reiche, B. Sebastian; Harzing, Anne-Wil; Kraimer, Maria L.",The role of international assignees' social capital in creating inter-unit intellectual capital: A cross-level model,"We conceptualize international assignees as informational boundary spanners between multinational enterprise units, and develop a cross-level model that explores how assignees' social capital translates into inter-unit intellectual capital. First, as knowledge brokers, assignees create inter-unit intellectual capital by linking their home- and host-unit social capital, thereby enabling cross-unit access to previously unconnected knowledge resources. Second, as knowledge transmitters, assignees' host-unit social capital facilitates their creation of individual intellectual capital, which, in turn, translates into inter-unit intellectual capital. We conclude that individual social capital needs to be explicitly transferred to the organizational level to have a sustained effect on inter-unit intellectual capital.",0047-2506,,APR,2009,40,3,509,526,,10.1057/jibs.2008.86,WOS:000264545700012
"Das, TK","Das, TK",Strategic alliance temporalities and partner opportunism,"The troubling potential for opportunistic behaviour in strategic alliances is acknowledged in both research and practice, and yet the antecedents of such opportunism remain largely unexplored in the literature. In this article we suggest that the inherent temporalities of alliances play significant roles in partner opportunism. We propose a model of potential partner opportunism that assigns antecedent and contingent roles to the temporal horizons of alliances and the temporal orientations of the member firms. We introduce the notion of alliance horizons and suggest that they are constituted by the temporal orientations of the member firms and a number of common alliance formation factors. We also discuss how these alliance horizons in conjunction with the temporal orientations of member firms result in different levels of potential opportunism. Lastly, we develop a number of propositions to facilitate empirical research on the temporal contingencies of partner opportunism and indicate directions for further studies.",1045-3172,,MAR,2006,17,1,1,21,,10.1111/j.1467-8551.2006.00482.x,WOS:000235354500001
"Ayas, K; Zeniuk, N","Ayas, K; Zeniuk, N",Project-based learning: Building communities of reflective practitioners,"In this article we delve into the potential learning capacity inherent in project-based organizations derived from conclusions drawn from action research as well as extensive field experience. We propose project-based learning as a means to deal with the challenge of sustainable growth of learning capacity, i.e. developing learning capabilities that enable reasoning beyond the short term; knowledge creation and sharing beyond the individual or team. Based on stories from the field, we explore the distinguishing features of project-based learning and ways in which project-based learning can be instrumental in building communities of reflective practitioners.",1350-5076,,MAR,2001,32,1,61,76,,10.1177/1350507601321005,WOS:000167525300005
"Autry, CW; Golicic, SL","Autry, Chad W.; Golicic, Susan L.",Evaluating buyer-supplier relationship-performance spirals: A longitudinal study,"Interorganizational relationships and their impact on firm performance have been studied at length in various business literatures, with many studies predicting that in dyadic exchange contexts strong relationships should lead to better performance for both parties involved. However, some studies reverse this causal ordering, arguing that the performance gains attributed to prior relational activity predict the strength of the dyadic relationship in future time periods. While supported, both of these perspectives on relationship strength/performance dynamics are incomplete, as the research studies are only cross-sectional snapshots of the phenomenon. We remedy this gap in the existing literature by examining the dynamic cyclical linkage between relationship strength and performance of a buyer-supplier relationship in a longitudinal setting, using a relationship strength-performance spiral model. Results of testing a multiyear sample of 323 buyer-supplier relationships in the construction industry indicate not only that relationships tend to spiral positively following relationship initiation, but also that positive relationship spirals will self-correct following multiple associations of alternating increases. These findings advance theory on buyer-supplier relationships, and provide insight for companies looking to improve supply chain outcomes through superior relationship management. (C) 2009 Elsevier B.V. All rights reserved.",0272-6963,1873-1317,MAR,2010,28,2,87,100,,10.1016/j.jom.2009.07.003,WOS:000275244400001
"Carroll, GR; Teo, AC","Carroll, GR; Teo, AC",On the social networks of managers,"Using data from the National Opinion Research Center's General Social Survey, we compared the organizational membership networks and core discussion networks of managers and nonmanagers. For the two groups, the networks differed on a variety of characteristics, including ties to outside organizations and to co-workers, network size, and closeness of ties. We also found preliminary evidence that network differences were associated with income differences for nonmanagers.",0001-4273,,APR,1996,39,2,421,440,,10.2307/256786,WOS:A1996UE39800007
"Devers, CE; Dewett, T; Mishina, Y; Belsito, CA","Devers, Cynthia E.; Dewett, Todd; Mishina, Yuri; Belsito, Carrie A.",A General Theory of Organizational Stigma,"In recent years, the term stigma has been widely applied to organizations. However, scholars have yet to advance a theoretically consistent definition or comprehensive theory of organizational stigma. The purpose of this paper is to de. ne the construct of organizational stigma and provide a general theory that explains the conditions under which organizational stigmas are likely to arise, how this process unfolds, and the initial effects stigmas inflict on organizations. In doing so, we distinguish organizational stigma from both individual-level stigma and the organizational-level constructs of reputation, status, celebrity, and legitimacy. We then build upon multiple streams of research to develop a richer theoretical explanation of the roles social context, social processes, and social actors play in the origination and effects of an organizational stigma.",1047-7039,,JAN-FEB,2009,20,1,154,171,,10.1287/orsc.1080.0367,WOS:000262895100011
"Tinsley, CH; O'Connor, KM; Sullivan, BA","Tinsley, CH; O'Connor, KM; Sullivan, BA",Tough guys finish last: the perils of a distributive reputation,"Reputations are socially constructed labels that provide representations (or schema), which organize our images of another person. We look at how reputations influence negotiations by examining their impact on negotiator cognitions, behaviors, and subsequent outcomes. We randomly paired relative novices with relative experts to negotiate over email, telling half the novices that their counterparts were experts in distributive negotiation (i.e., the art of claiming value). Findings supported our predictions that novices whose counterparts had a distributive reputation judged these counterparts' intentions in a more negative light and used more distributive and fewer integrative tactics than the control group novices. This resulted in lower joint gains in the distributive reputation condition than in the control condition. Notably, the more experienced negotiators were able to extract more individual value from the deal, but not when they had a reputation for being distributive. In other words, the fictitious distributive reputation prevented participants from capitalizing on their real negotiation expertise advantage. (C) 2002 Elsevier Science (USA). All rights reserved.",0749-5978,,JUL,2002,88,2,621,642,PII S0749-5978(02)00005-5,10.1016/S0749-5978(02)00005-5,WOS:000176610700004
"Prashantham, S; Dhanaraj, C","Prashantham, Shameen; Dhanaraj, Charles",The Dynamic Influence of Social Capital on the International Growth of New Ventures,"P>This paper explores the origin, evolution, and appropriation of social capital by new ventures seeking international growth. Using longitudinal case studies in the software industry, we model the dynamic influence of social capital on new venture internationalization. We theorize that new ventures of founders from a globally-connected environment, such as with return migration or MNC experience, have higher stocks of initial social capital than others. We provide a nuanced analysis of the dynamic processes involved in the evolution of social capital, and highlight the mechanisms of decay and replenishment over time. Network learning plays a critical role in new ventures' ability to realize the potential contribution of social capital to international growth.",0022-2380,,SEP,2010,47,6,967,994,,10.1111/j.1467-6486.2010.00904.x,WOS:000280151100003
"Lechner, C; Frankenberger, K; Floyd, SW","Lechner, Christoph; Frankenberger, Karolin; Floyd, Steven W.",TASK CONTINGENCIES IN THE CURVILINEAR RELATIONSHIPS BETWEEN INTERGROUP NETWORKS AND INITIATIVE PERFORMANCE,"This study examines the effects of three dimensions of network relations on the intergroup level and the performance of strategic initiatives. Findings suggest inverted U-shaped relationships between performance and relational and structural dimensions of networks, and a linear, positive relationship for the cognitive dimension. In addition, exploration moderates relationships between performance and all three dimensions of intergroup networks. Negative consequences of ""strong ties"" and centrality are more pronounced in exploratory initiatives than in ""exploitive"" initiatives. Although exploratory groups appear to benefit less from increases in shared vision, shared vision is a positive influence on performance for both types of initiatives.",0001-4273,1948-0989,AUG,2010,53,4,865,889,,10.5465/AMJ.2010.52814620,WOS:000281616700011
"Simsek, Z; Lubatkin, MH; Floyd, SW","Simsek, Z; Lubatkin, MH; Floyd, SW",Inter-firm networks and entrepreneurial behavior: A structural embeddedness perspective,"We develop a theory of the effects of inter-organizational networks on both radical and incremental forms of firm-level entrepreneurial behavior (EB). The central argument is that structural embeddedness, with its focus on the network as a whole, and its two consequences, relational and cognitive embeddedness, individually and collectively influence incremental and radical forms of EB. Relationships in our model are driven by reciprocal interactions between intra- and inter-organizational sensemaking. This reasoning leads us to a dynamic, co-evolutionary model of EB. (C) 2003 Elsevier Science Inc. All rights reserved.",0149-2063,,,2003,29,3,427,442,,10.1016/S0149-2063(03)00018-7,WOS:000183567200008
"Larkey, LK","Larkey, LK",Toward a theory of communicative interactions in culturally diverse workgroups,"This article develops a set of predictions for interactions in culturally diverse workgroups. A typology of organizations and corresponding workgroups is detailed, adapted from Cox's (1991) model of monolithic, plural, and multicultural organizational types, followed by a discussion of how organization and workgroup conditions influence workgroup members to emphasize either categorization or specification in cognitive processing. Next, a series of positive and negative communicative interaction types is predicted based on type of processing. Finally, a discussion of the implications for further research and potential application is presented.",0363-7425,,APR,1996,21,2,463,491,,10.2307/258669,WOS:A1996UE77300011
"Aral, S; Walker, D","Aral, Sinan; Walker, Dylan","Tie Strength, Embeddedness, and Social Influence: A Large-Scale Networked Experiment","We leverage the newly emerging business analytical capability to rapidly deploy and iterate large-scale, microlevel, in vivo randomized experiments to understand how social influence in networks impacts consumer demand. Understanding peer influence is critical to estimating product demand and diffusion, creating effective viral marketing, and designing ""network interventions"" to promote positive social change. But several statistical challenges make it difficult to econometrically identify peer influence in networks. Though some recent studies use experiments to identify influence, they have not investigated the social or structural conditions under which influence is strongest. By randomly manipulating messages sent by adopters of a Facebook application to their 1.3 million peers, we identify the moderating effect of tie strength and structural embeddedness on the strength of peer influence. We find that both embeddedness and tie strength increase influence. However, the amount of physical interaction between friends, measured by coappearance in photos, does not have an effect. This work presents some of the first large-scale in vivo experimental evidence investigating the social and structural moderators of peer influence in networks. The methods and results could enable more effective marketing strategies and social policy built around a new understanding of how social structure and peer influence spread behaviors in society.",0025-1909,1526-5501,JUN,2014,60,6,1352,1370,,10.1287/mnsc.2014.1936,WOS:000338352900002
